p_initial,total_mean,bethe,total_mode,landau_sigma
0.05,0.00396716,0.003967,0.00357032,0.000522551
0.0504976,0.00391377,0.00391362,0.00352228,0.000514178
0.0510002,0.00386129,0.00386113,0.00347504,0.000505968
0.0515078,0.00380969,0.00380953,0.0034286,0.00049792
0.0520205,0.00375896,0.0037588,0.00338294,0.00049003
0.0525382,0.00370909,0.00370893,0.00333806,0.000482295
0.0530611,0.00366006,0.00365991,0.00329394,0.000474711
0.0535892,0.00361187,0.00361171,0.00325056,0.000467276
0.0541225,0.00356449,0.00356434,0.00320793,0.000459987
0.0546612,0.00351793,0.00351777,0.00316602,0.000452841
0.0552052,0.00347215,0.00347199,0.00312482,0.000445835
0.0557547,0.00342716,0.003427,0.00308432,0.000438966
0.0563096,0.00338293,0.00338278,0.00304452,0.000432232
0.05687,0.00333947,0.00333931,0.0030054,0.00042563
0.057436,0.00329674,0.00329658,0.00296695,0.000419158
0.0580077,0.00325476,0.0032546,0.00292916,0.000412812
0.058585,0.00321349,0.00321333,0.00289202,0.000406591
0.0591681,0.00317293,0.00317277,0.00285552,0.000400492
0.059757,0.00313308,0.00313292,0.00281965,0.000394513
0.0603517,0.00309391,0.00309375,0.0027844,0.000388651
0.0609524,0.00305542,0.00305526,0.00274976,0.000382904
0.061559,0.0030176,0.00301744,0.00271572,0.000377269
0.0621717,0.00298043,0.00298027,0.00268227,0.000371745
0.0627905,0.00294392,0.00294375,0.0026494,0.00036633
0.0634154,0.00290803,0.00290787,0.00261711,0.00036102
0.0640466,0.00287278,0.00287261,0.00258537,0.000355815
0.064684,0.00283813,0.00283797,0.0025542,0.000350712
0.0653278,0.0028041,0.00280393,0.00252357,0.000345709
0.065978,0.00277066,0.0027705,0.00249347,0.000340804
0.0666346,0.00273781,0.00273764,0.00246391,0.000335995
0.0672978,0.00270554,0.00270537,0.00243486,0.00033128
0.0679676,0.00267384,0.00267367,0.00240633,0.000326658
0.0686441,0.00264269,0.00264252,0.0023783,0.000322127
0.0693273,0.0026121,0.00261193,0.00235076,0.000317685
0.0700172,0.00258205,0.00258188,0.00232372,0.000313329
0.0707141,0.00255253,0.00255236,0.00229715,0.000309059
0.0714179,0.00252354,0.00252337,0.00227106,0.000304873
0.0721287,0.00249506,0.00249489,0.00224543,0.000300769
0.0728466,0.00246709,0.00246692,0.00222026,0.000296745
0.0735716,0.00243963,0.00243946,0.00219554,0.000292801
0.0743038,0.00241265,0.00241248,0.00217126,0.000288933
0.0750434,0.00238616,0.00238599,0.00214742,0.000285142
0.0757902,0.00236015,0.00235997,0.002124,0.000281425
0.0765446,0.0023346,0.00233443,0.00210101,0.000277781
0.0773064,0.00230952,0.00230934,0.00207844,0.000274208
0.0780758,0.00228489,0.00228471,0.00205627,0.000270705
0.0788528,0.0022607,0.00226053,0.0020345,0.000267271
0.0796376,0.00223696,0.00223678,0.00201313,0.000263904
0.0804303,0.00221365,0.00221347,0.00199215,0.000260604
0.0812308,0.00219076,0.00219059,0.00197155,0.000257368
0.0820392,0.00216829,0.00216812,0.00195133,0.000254195
0.0828557,0.00214624,0.00214606,0.00193148,0.000251085
0.0836804,0.00212459,0.00212441,0.00191199,0.000248036
0.0845132,0.00210334,0.00210316,0.00189287,0.000245047
0.0853543,0.00208248,0.0020823,0.00187409,0.000242116
0.0862038,0.002062,0.00206182,0.00185567,0.000239243
0.0870618,0.00204191,0.00204172,0.00183758,0.000236426
0.0879283,0.00202219,0.002022,0.00181983,0.000233664
0.0888034,0.00200283,0.00200265,0.00180241,0.000230956
0.0896873,0.00198384,0.00198365,0.00178532,0.000228302
0.0905799,0.0019652,0.00196502,0.00176854,0.0002257
0.0914814,0.00194691,0.00194673,0.00175208,0.000223148
0.0923919,0.00192897,0.00192878,0.00173593,0.000220647
0.0933114,0.00191137,0.00191118,0.00172009,0.000218195
0.0942401,0.00189409,0.0018939,0.00170454,0.000215791
0.0951781,0.00187715,0.00187696,0.00168929,0.000213433
0.0961254,0.00186053,0.00186034,0.00167433,0.000211123
0.0970821,0.00184422,0.00184403,0.00165965,0.000208857
0.0980483,0.00182823,0.00182803,0.00164526,0.000206636
0.0990241,0.00181254,0.00181234,0.00163114,0.000204459
0.10001,0.00179715,0.00179696,0.00161729,0.000202324
0.101005,0.00178206,0.00178187,0.00160371,0.000200231
0.10201,0.00176726,0.00176707,0.00159039,0.000198179
0.103026,0.00175275,0.00175256,0.00157733,0.000196168
0.104051,0.00173852,0.00173833,0.00156452,0.000194195
0.105087,0.00172457,0.00172438,0.00155197,0.000192262
0.106132,0.0017109,0.0017107,0.00153966,0.000190366
0.107189,0.00169749,0.00169729,0.00152759,0.000188508
0.108256,0.00168434,0.00168414,0.00151576,0.000186686
0.109333,0.00167146,0.00167125,0.00150416,0.0001849
0.110421,0.00165883,0.00165862,0.00149279,0.000183149
0.11152,0.00164645,0.00164624,0.00148165,0.000181432
0.11263,0.00163432,0.00163411,0.00147073,0.000179749
0.113751,0.00162243,0.00162222,0.00146003,0.000178099
0.114883,0.00161078,0.00161057,0.00144954,0.000176481
0.116027,0.00159936,0.00159916,0.00143927,0.000174895
0.117181,0.00158818,0.00158797,0.00142921,0.00017334
0.118348,0.00157723,0.00157701,0.00141934,0.000171815
0.119526,0.00156649,0.00156628,0.00140969,0.000170321
0.120715,0.00155598,0.00155577,0.00140022,0.000168855
0.121917,0.00154569,0.00154547,0.00139096,0.000167419
0.12313,0.0015356,0.00153539,0.00138188,0.000166011
0.124355,0.00152573,0.00152551,0.00137299,0.00016463
0.125593,0.00151606,0.00151584,0.00136429,0.000163276
0.126843,0.0015066,0.00150638,0.00135577,0.000161949
0.128106,0.00149733,0.00149711,0.00134743,0.000160648
0.129381,0.00148826,0.00148804,0.00133927,0.000159373
0.130668,0.00147938,0.00147916,0.00133127,0.000158122
0.131969,0.00147069,0.00147046,0.00132345,0.000156896
0.133282,0.00146219,0.00146196,0.0013158,0.000155694
0.134609,0.00145387,0.00145364,0.00130831,0.000154516
0.135948,0.00144572,0.0014455,0.00130098,0.00015336
0.137301,0.00143776,0.00143753,0.00129381,0.000152228
0.138668,0.00142997,0.00142974,0.0012868,0.000151117
0.140048,0.00142235,0.00142212,0.00127994,0.000150029
0.141442,0.0014149,0.00141467,0.00127323,0.000148961
0.14285,0.00140761,0.00140738,0.00126668,0.000147915
0.144271,0.00140049,0.00140025,0.00126026,0.000146889
0.145707,0.00139353,0.00139329,0.001254,0.000145884
0.147157,0.00138672,0.00138648,0.00124787,0.000144898
0.148622,0.00138007,0.00137983,0.00124188,0.000143931
0.150101,0.00137357,0.00137333,0.00123603,0.000142983
0.151595,0.00136722,0.00136698,0.00123031,0.000142054
0.153104,0.00136102,0.00136077,0.00122473,0.000141143
0.154628,0.00135496,0.00135471,0.00121928,0.00014025
0.156167,0.00134904,0.00134879,0.00121395,0.000139375
0.157721,0.00134327,0.00134301,0.00120875,0.000138516
0.159291,0.00133763,0.00133737,0.00120367,0.000137675
0.160876,0.00133212,0.00133186,0.00119872,0.00013685
0.162477,0.00132675,0.00132649,0.00119388,0.000136041
0.164094,0.00132151,0.00132125,0.00118916,0.000135248
0.165728,0.00131639,0.00131613,0.00118456,0.000134471
0.167377,0.00131141,0.00131114,0.00118007,0.000133709
0.169043,0.00130654,0.00130628,0.00117569,0.000132961
0.170725,0.0013018,0.00130153,0.00117142,0.000132229
0.172424,0.00129718,0.00129691,0.00116726,0.000131511
0.17414,0.00129268,0.0012924,0.0011632,0.000130807
0.175874,0.00128829,0.00128801,0.00115925,0.000130116
0.177624,0.00128401,0.00128374,0.00115541,0.00012944
0.179392,0.00127985,0.00127957,0.00115166,0.000128776
0.181177,0.0012758,0.00127552,0.00114801,0.000128126
0.182981,0.00127185,0.00127157,0.00114446,0.000127488
0.184802,0.00126802,0.00126773,0.001141,0.000126863
0.186641,0.00126428,0.001264,0.00113764,0.00012625
0.188499,0.00126065,0.00126036,0.00113437,0.000125649
0.190375,0.00125712,0.00125683,0.00113119,0.00012506
0.192269,0.00125369,0.0012534,0.0011281,0.000124482
0.194183,0.00125036,0.00125007,0.0011251,0.000123916
0.196116,0.00124712,0.00124683,0.00112219,0.000123361
0.198067,0.00124398,0.00124368,0.00111936,0.000122816
0.200039,0.00124093,0.00124063,0.00111661,0.000122283
0.20203,0.00123797,0.00123767,0.00111395,0.00012176
0.20404,0.0012351,0.0012348,0.00111136,0.000121247
0.206071,0.00123232,0.00123202,0.00110886,0.000120744
0.208122,0.00122963,0.00122932,0.00110643,0.000120251
0.210194,0.00122702,0.00122671,0.00110408,0.000119768
0.212286,0.0012245,0.00122418,0.00110181,0.000119294
0.214398,0.00122205,0.00122173,0.00109961,0.00011883
0.216532,0.00121969,0.00121937,0.00109748,0.000118374
0.218687,0.00121741,0.00121708,0.00109542,0.000117928
0.220864,0.0012152,0.00121488,0.00109344,0.00011749
0.223062,0.00121307,0.00121275,0.00109152,0.000117061
0.225282,0.00121102,0.00121069,0.00108967,0.00011664
0.227524,0.00120904,0.00120871,0.00108789,0.000116228
0.229789,0.00120714,0.0012068,0.00108617,0.000115823
0.232076,0.0012053,0.00120496,0.00108452,0.000115427
0.234385,0.00120354,0.0012032,0.00108293,0.000115038
0.236718,0.00120185,0.0012015,0.0010814,0.000114657
0.239074,0.00120022,0.00119987,0.00107994,0.000114284
0.241454,0.00119866,0.00119831,0.00107853,0.000113917
0.243857,0.00119717,0.00119681,0.00107718,0.000113558
0.246284,0.00119574,0.00119538,0.0010759,0.000113206
