p_initial,total_mean,bethe,total_mode,landau_sigma
0.05,0.000715641,0.000715621,0.000644062,8.96625e-05
0.0504976,0.000705921,0.000705901,0.000635314,8.82258e-05
0.0510002,0.000696366,0.000696347,0.000626715,8.68173e-05
0.0515078,0.000686974,0.000686955,0.000618262,8.54363e-05
0.0520205,0.000677743,0.000677723,0.000609953,8.40825e-05
0.0525382,0.000668668,0.000668649,0.000601787,8.27552e-05
0.0530611,0.000659749,0.00065973,0.00059376,8.14539e-05
0.0535892,0.000650983,0.000650963,0.00058587,8.01782e-05
0.0541225,0.000642367,0.000642347,0.000578115,7.89275e-05
0.0546612,0.000633898,0.000633878,0.000570494,7.77013e-05
0.0552052,0.000625575,0.000625556,0.000563003,7.64991e-05
0.0557547,0.000617396,0.000617376,0.000555642,7.53206e-05
0.0563096,0.000609358,0.000609338,0.000548407,7.41651e-05
0.05687,0.000601458,0.000601438,0.000541297,7.30323e-05
0.057436,0.000593694,0.000593674,0.00053431,7.19217e-05
0.0580077,0.000586065,0.000586045,0.000527444,7.08329e-05
0.058585,0.000578569,0.000578549,0.000520697,6.97655e-05
0.0591681,0.000571202,0.000571182,0.000514067,6.8719e-05
0.059757,0.000563964,0.000563944,0.000507552,6.7693e-05
0.0603517,0.000556851,0.000556831,0.000501151,6.66872e-05
0.0609524,0.000549863,0.000549842,0.000494861,6.5701e-05
0.061559,0.000542996,0.000542976,0.000488681,6.47342e-05
0.0621717,0.00053625,0.000536229,0.000482609,6.37864e-05
0.0627905,0.000529621,0.000529601,0.000476644,6.28572e-05
0.0634154,0.000523109,0.000523089,0.000470783,6.19461e-05
0.0640466,0.000516712,0.000516691,0.000465025,6.1053e-05
0.064684,0.000510426,0.000510406,0.000459368,6.01773e-05
0.0653278,0.000504252,0.000504231,0.000453811,5.93189e-05
0.065978,0.000498187,0.000498166,0.000448352,5.84773e-05
0.0666346,0.000492228,0.000492207,0.00044299,5.76521e-05
0.0672978,0.000486376,0.000486355,0.000437722,5.68432e-05
0.0679676,0.000480627,0.000480606,0.000432548,5.60501e-05
0.0686441,0.00047498,0.000474959,0.000427466,5.52726e-05
0.0693273,0.000469433,0.000469412,0.000422474,5.45103e-05
0.0700172,0.000463986,0.000463965,0.000417571,5.3763e-05
0.0707141,0.000458636,0.000458614,0.000412756,5.30303e-05
0.0714179,0.000453381,0.00045336,0.000408027,5.23121e-05
0.0721287,0.00044822,0.000448199,0.000403382,5.16078e-05
0.0728466,0.000443153,0.000443131,0.000398821,5.09174e-05
0.0735716,0.000438176,0.000438154,0.000394342,5.02406e-05
0.0743038,0.000433289,0.000433267,0.000389944,4.9577e-05
0.0750434,0.00042849,0.000428468,0.000385624,4.89264e-05
0.0757902,0.000423777,0.000423756,0.000381383,4.82886e-05
0.0765446,0.00041915,0.000419129,0.000377219,4.76633e-05
0.0773064,0.000414607,0.000414586,0.00037313,4.70503e-05
0.0780758,0.000410147,0.000410125,0.000369116,4.64493e-05
0.0788528,0.000405768,0.000405746,0.000365175,4.58601e-05
0.0796376,0.000401469,0.000401447,0.000361305,4.52824e-05
0.0804303,0.000397248,0.000397226,0.000357507,4.4716e-05
0.0812308,0.000393105,0.000393082,0.000353777,4.41608e-05
0.0820392,0.000389037,0.000389015,0.000350117,4.36165e-05
0.0828557,0.000385045,0.000385022,0.000346524,4.30828e-05
0.0836804,0.000381126,0.000381103,0.000342996,4.25596e-05
0.0845132,0.00037728,0.000377257,0.000339535,4.20467e-05
0.0853543,0.000373504,0.000373482,0.000336137,4.15438e-05
0.0862038,0.000369799,0.000369776,0.000332802,4.10507e-05
0.0870618,0.000366163,0.00036614,0.000329529,4.05674e-05
0.0879283,0.000362594,0.000362571,0.000326317,4.00935e-05
0.0888034,0.000359092,0.000359069,0.000323166,3.9629e-05
0.0896873,0.000355656,0.000355633,0.000320073,3.91735e-05
0.0905799,0.000352284,0.000352261,0.000317038,3.8727e-05
0.0914814,0.000348975,0.000348952,0.00031406,3.82892e-05
0.0923919,0.000345729,0.000345706,0.000311139,3.786e-05
0.0933114,0.000342544,0.000342521,0.000308272,3.74392e-05
0.0942401,0.00033942,0.000339396,0.00030546,3.70267e-05
0.0951781,0.000336355,0.000336331,0.000302701,3.66223e-05
0.0961254,0.000333348,0.000333324,0.000299995,3.62258e-05
0.0970821,0.000330398,0.000330375,0.000297341,3.5837e-05
0.0980483,0.000327506,0.000327482,0.000294737,3.54559e-05
0.0990241,0.000324668,0.000324644,0.000292183,3.50823e-05
0.10001,0.000321885,0.000321861,0.000289679,3.4716e-05
0.101005,0.000319156,0.000319132,0.000287222,3.43569e-05
0.10201,0.00031648,0.000316455,0.000284813,3.40048e-05
0.103026,0.000313855,0.000313831,0.000282451,3.36597e-05
0.104051,0.000311282,0.000311257,0.000280135,3.33213e-05
0.105087,0.000308759,0.000308734,0.000277864,3.29895e-05
0.106132,0.000306285,0.00030626,0.000275638,3.26643e-05
0.107189,0.00030386,0.000303835,0.000273455,3.23454e-05
0.108256,0.000301483,0.000301457,0.000271315,3.20328e-05
0.109333,0.000299152,0.000299127,0.000269218,3.17263e-05
0.110421,0.000296868,0.000296843,0.000267162,3.14258e-05
0.11152,0.000294629,0.000294604,0.000265147,3.11312e-05
0.11263,0.000292435,0.000292409,0.000263172,3.08424e-05
0.113751,0.000290285,0.000290259,0.000261237,3.05593e-05
0.114883,0.000288178,0.000288152,0.00025934,3.02817e-05
0.116027,0.000286113,0.000286087,0.000257482,3.00095e-05
0.117181,0.00028409,0.000284064,0.000255661,2.97427e-05
0.118348,0.000282108,0.000282082,0.000253878,2.94812e-05
0.119526,0.000280167,0.00028014,0.00025213,2.92247e-05
0.120715,0.000278265,0.000278238,0.000250419,2.89733e-05
0.121917,0.000276403,0.000276376,0.000248742,2.87268e-05
0.12313,0.000274578,0.000274551,0.0002471,2.84852e-05
0.124355,0.000272792,0.000272764,0.000245492,2.82482e-05
0.125593,0.000271042,0.000271015,0.000243917,2.8016e-05
0.126843,0.000269329,0.000269302,0.000242376,2.77883e-05
0.128106,0.000267652,0.000267624,0.000240866,2.7565e-05
0.129381,0.00026601,0.000265982,0.000239388,2.73462e-05
0.130668,0.000264403,0.000264375,0.000237942,2.71316e-05
0.131969,0.00026283,0.000262802,0.000236526,2.69212e-05
0.133282,0.000261291,0.000261262,0.00023514,2.6715e-05
0.134609,0.000259784,0.000259755,0.000233784,2.65128e-05
0.135948,0.00025831,0.000258281,0.000232457,2.63146e-05
0.137301,0.000256867,0.000256839,0.000231159,2.61202e-05
0.138668,0.000255457,0.000255427,0.000229889,2.59297e-05
0.140048,0.000254076,0.000254047,0.000228647,2.57429e-05
0.141442,0.000252726,0.000252697,0.000227432,2.55598e-05
