p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
1,0.868364,0.130797,56.0597,0.0374668,0.00727688
1.00693,0.875169,0.130936,55.6428,0.0371878,0.00728912
1.01391,0.882021,0.131075,55.2293,0.036911,0.0073013
1.02094,0.888921,0.131214,54.8191,0.0366365,0.00731341
1.02802,0.895869,0.131353,54.4122,0.0363642,0.00732547
1.03514,0.902866,0.131493,54.0086,0.0360942,0.00733745
1.04232,0.909912,0.131633,53.6082,0.0358262,0.00734938
1.04954,0.917007,0.131773,53.211,0.0355605,0.00736124
1.05682,0.924173,0.131893,52.8159,0.0352961,0.00737337
1.06414,0.931451,0.131951,52.4208,0.0350317,0.00738643
1.07152,0.938744,0.132045,52.0308,0.0347707,0.00739885
1.07895,0.946132,0.132094,51.642,0.0345106,0.00741191
1.08643,0.953536,0.13218,51.2581,0.0342537,0.00742432
1.09396,0.961036,0.13222,50.8756,0.0339977,0.00743737
1.10154,0.968552,0.132297,50.4978,0.0337449,0.00744977
1.10917,0.976165,0.132329,50.1215,0.0334931,0.00746281
1.11686,0.983877,0.132316,49.7472,0.0332426,0.00747646
1.1246,0.991565,0.132379,49.3784,0.0329958,0.00748887
1.1324,0.999352,0.132397,49.0116,0.0327504,0.00750188
1.14025,1.00716,0.132451,48.6487,0.0325076,0.00751428
1.14815,1.01506,0.132459,48.288,0.0322662,0.00752729
1.15611,1.02298,0.132504,47.9309,0.0320273,0.00753968
1.16413,1.03105,0.132461,47.5758,0.0317897,0.00755329
1.1722,1.03914,0.132454,47.2243,0.0315545,0.00756629
1.18032,1.04724,0.132483,46.876,0.0313214,0.00757868
1.1885,1.05545,0.132466,46.5304,0.0310903,0.00759166
1.19674,1.06365,0.132508,46.1877,0.030861,0.00760372
1.20504,1.07189,0.13257,45.8478,0.0306336,0.00761542
1.21339,1.08019,0.132632,45.5106,0.0304081,0.00762705
1.2218,1.08855,0.132694,45.1761,0.0301843,0.00763861
1.23027,1.09696,0.132757,44.8441,0.0299622,0.0076501
1.2388,1.10544,0.132819,44.5148,0.029742,0.00766153
1.24738,1.11397,0.132882,44.1881,0.0295234,0.00767288
1.25603,1.12256,0.132945,43.864,0.0293066,0.00768417
1.26474,1.13121,0.133009,43.5424,0.0290915,0.0076954
1.2735,1.13992,0.133072,43.2234,0.0288781,0.00770656
1.28233,1.14869,0.133136,42.9068,0.0286664,0.00771765
1.29122,1.15752,0.1332,42.5927,0.0284563,0.00772868
1.30017,1.16642,0.133264,42.2811,0.0282479,0.00773964
1.30918,1.17537,0.133328,41.9719,0.028041,0.00775054
1.31826,1.18439,0.133392,41.6651,0.0278359,0.00776138
1.32739,1.19347,0.133457,41.3607,0.0276323,0.00777215
1.3366,1.20261,0.133521,41.0587,0.0274303,0.00778286
1.34586,1.21182,0.133586,40.7591,0.0272299,0.00779351
1.35519,1.22109,0.133651,40.4617,0.027031,0.0078041
1.36458,1.23042,0.133716,40.1667,0.0268337,0.00781462
1.37404,1.23982,0.133781,39.8739,0.0266379,0.00782508
1.38357,1.24929,0.133847,39.5835,0.0264437,0.00783549
1.39316,1.25882,0.133912,39.2952,0.0262509,0.00784583
1.40281,1.26842,0.133978,39.0092,0.0260597,0.00785611
1.41254,1.27808,0.134044,38.7254,0.0258699,0.00786633
1.42233,1.28781,0.13411,38.4438,0.0256816,0.00787649
1.43219,1.29761,0.134176,38.1644,0.0254947,0.0078866
1.44212,1.30748,0.134242,37.8871,0.0253093,0.00789664
1.45211,1.31741,0.134308,37.6119,0.0251253,0.00790663
1.46218,1.32742,0.134375,37.3389,0.0249427,0.00791655
1.47231,1.33749,0.134441,37.068,0.0247616,0.00792642
1.48252,1.34764,0.134508,36.7991,0.0245818,0.00793624
1.49279,1.35785,0.134575,36.5323,0.0244034,0.00794599
1.50314,1.36814,0.134641,36.2675,0.0242264,0.00795569
1.51356,1.37849,0.134708,36.0048,0.0240507,0.00796534
1.52405,1.38892,0.134776,35.7441,0.0238764,0.00797493
1.53462,1.39942,0.134843,35.4853,0.0237034,0.00798446
1.54525,1.41,0.13491,35.2286,0.0235317,0.00799393
1.55597,1.42065,0.134978,34.9738,0.0233614,0.00800336
1.56675,1.43137,0.135045,34.7209,0.0231923,0.00801272
1.57761,1.44217,0.135113,34.47,0.0230245,0.00802204
1.58855,1.45304,0.13518,34.2209,0.022858,0.0080313
1.59956,1.46399,0.135248,33.9738,0.0226928,0.0080405
1.61065,1.47501,0.135316,33.7285,0.0225288,0.00804966
1.62181,1.48611,0.135384,33.4851,0.0223661,0.00805876
1.63305,1.49729,0.135452,33.2436,0.0222046,0.0080678
1.64437,1.50855,0.135521,33.0039,0.0220444,0.0080768
1.65577,1.51988,0.135589,32.7659,0.0218853,0.00808574
1.66725,1.53129,0.135657,32.5298,0.0217275,0.00809463
1.6788,1.54279,0.135726,32.2955,0.0215708,0.00810347
1.69044,1.55436,0.135794,32.0629,0.0214154,0.00811226
1.70216,1.56601,0.135863,31.8321,0.0212611,0.00812099
1.71396,1.57775,0.135932,31.6031,0.0211079,0.00812968
1.72584,1.58956,0.136,31.3757,0.020956,0.00813832
1.7378,1.60146,0.136069,31.1501,0.0208051,0.0081469
1.74985,1.61344,0.136138,30.9262,0.0206555,0.00815544
