p_initial,p_final,e_loss,x_sigma,dir_sigma,e_sigma
1,0.976597,0.0232701,17.3119,0.0115564,0.00158168
1.00693,0.983508,0.023293,17.19,0.0114751,0.0015819
1.01391,0.990466,0.0233159,17.069,0.0113943,0.00158213
1.02094,0.997473,0.0233388,16.9489,0.0113141,0.00158235
1.02802,1.00453,0.0233618,16.8297,0.0112345,0.00158257
1.03514,1.01163,0.0233849,16.7113,0.0111554,0.0015828
1.04232,1.01879,0.0234079,16.5938,0.011077,0.00158302
1.04954,1.02599,0.0234311,16.4771,0.0109991,0.00158324
1.05682,1.03323,0.0234685,16.3615,0.0109219,0.00158342
1.06414,1.04028,0.0237477,16.2499,0.0108474,0.00158286
1.07152,1.04738,0.024023,16.1379,0.0107726,0.00158232
1.07895,1.05453,0.0242945,16.0253,0.0106975,0.0015818
1.08643,1.06193,0.0243761,15.9127,0.0106223,0.00158187
1.09396,1.06945,0.0243858,15.8008,0.0105476,0.00158215
1.10154,1.07703,0.0243955,15.6897,0.0104734,0.00158243
1.10917,1.08466,0.0244052,15.5794,0.0103998,0.00158271
1.11686,1.09234,0.0244149,15.47,0.0103267,0.00158299
1.1246,1.10007,0.0244248,15.3613,0.0102541,0.00158327
1.1324,1.10786,0.0244346,15.2534,0.0101821,0.00158355
1.14025,1.1157,0.0244445,15.1463,0.0101106,0.00158383
1.14815,1.12359,0.0244544,15.0399,0.0100396,0.0015841
1.15611,1.13154,0.0244643,14.9344,0.00996908,0.00158438
1.16413,1.13955,0.0244743,14.8295,0.0098991,0.00158465
1.1722,1.14761,0.0244843,14.7255,0.00982963,0.00158493
1.18032,1.15573,0.0244944,14.6222,0.00976065,0.0015852
1.1885,1.1639,0.0245045,14.5196,0.00969217,0.00158548
1.19674,1.17213,0.0245146,14.4178,0.00962419,0.00158575
1.20504,1.18042,0.0245248,14.3167,0.00955669,0.00158602
1.21339,1.18876,0.024535,14.2163,0.00948968,0.00158629
1.2218,1.19716,0.0245452,14.1167,0.00942316,0.00158656
1.23027,1.20562,0.0245555,14.0178,0.00935711,0.00158683
1.2388,1.21414,0.0245658,13.9196,0.00929153,0.0015871
1.24738,1.22272,0.0245761,13.822,0.00922643,0.00158737
1.25603,1.23135,0.0245865,13.7252,0.00916179,0.00158763
1.26474,1.24005,0.0245968,13.6291,0.00909762,0.0015879
1.2735,1.24881,0.0246073,13.5337,0.00903391,0.00158816
1.28233,1.25763,0.0246177,13.4389,0.00897065,0.00158843
1.29122,1.26651,0.0246282,13.3449,0.00890785,0.00158869
1.30017,1.27545,0.0246387,13.2515,0.0088455,0.00158895
1.30918,1.28445,0.0246492,13.1588,0.0087836,0.00158922
1.31826,1.29352,0.0246598,13.0667,0.00872214,0.00158948
1.32739,1.30264,0.0246704,12.9753,0.00866111,0.00158974
1.3366,1.31184,0.024681,12.8846,0.00860053,0.00159
1.34586,1.32109,0.0246916,12.7945,0.00854038,0.00159026
1.35519,1.33041,0.0247023,12.705,0.00848066,0.00159051
1.36458,1.33979,0.024713,12.6162,0.00842136,0.00159077
1.37404,1.34924,0.0247237,12.528,0.00836249,0.00159102
1.38357,1.35876,0.0247344,12.4405,0.00830403,0.00159128
1.39316,1.36834,0.0247452,12.3535,0.008246,0.00159153
1.40281,1.37799,0.024756,12.2672,0.00818838,0.00159179
1.41254,1.3877,0.0247668,12.1815,0.00813117,0.00159204
1.42233,1.39748,0.0247776,12.0965,0.00807437,0.00159229
1.43219,1.40733,0.0247885,12.012,0.00801797,0.00159254
1.44212,1.41725,0.0247994,11.9281,0.00796198,0.00159279
1.45211,1.42723,0.0248103,11.8448,0.00790638,0.00159304
1.46218,1.43729,0.0248212,11.7621,0.00785118,0.00159329
1.47231,1.44742,0.0248321,11.6801,0.00779637,0.00159353
1.48252,1.45761,0.0248431,11.5985,0.00774195,0.00159378
1.49279,1.46788,0.0248541,11.5176,0.00768792,0.00159403
1.50314,1.47821,0.0248651,11.4372,0.00763427,0.00159427
1.51356,1.48862,0.0248761,11.3575,0.00758101,0.00159451
1.52405,1.4991,0.0248872,11.2782,0.00752812,0.00159476
1.53462,1.50966,0.0248982,11.1996,0.00747561,0.001595
1.54525,1.52029,0.0249093,11.1215,0.00742347,0.00159524
1.55597,1.53099,0.0249204,11.0439,0.0073717,0.00159548
1.56675,1.54176,0.0249315,10.9669,0.0073203,0.00159572
1.57761,1.55261,0.0249427,10.8905,0.00726926,0.00159596
1.58855,1.56354,0.0249538,10.8146,0.00721859,0.00159619
1.59956,1.57454,0.024965,10.7392,0.00716827,0.00159643
1.61065,1.58561,0.0249762,10.6644,0.00711831,0.00159666
1.62181,1.59677,0.0249874,10.5901,0.00706871,0.0015969
1.63305,1.608,0.0249986,10.5163,0.00701945,0.00159713
1.64437,1.61931,0.0250098,10.443,0.00697055,0.00159737
1.65577,1.6307,0.0250211,10.3703,0.00692199,0.0015976
1.66725,1.64216,0.0250324,10.2981,0.00687377,0.00159783
1.6788,1.65371,0.0250437,10.2264,0.0068259,0.00159806
1.69044,1.66534,0.025055,10.1552,0.00677836,0.00159829
1.70216,1.67704,0.0250663,10.0845,0.00673116,0.00159851
1.71396,1.68883,0.0250776,10.0143,0.00668429,0.00159874
1.72584,1.7007,0.0250889,9.94455,0.00663776,0.00159897
1.7378,1.71265,0.0251003,9.87533,0.00659155,0.00159919
1.74985,1.72469,0.0251117,9.8066,0.00654567,0.00159942
1.76198,1.73681,0.025123,9.73836,0.00650012,0.00159964
1.77419,1.74901,0.0251344,9.6706,0.00645488,0.00159986
1.78649,1.7613,0.0251459,9.60332,0.00640997,0.00160008
1.79887,1.77367,0.0251573,9.53651,0.00636537,0.00160031
1.81134,1.78613,0.0251687,9.47018,0.00632109,0.00160052
1.8239,1.79867,0.0251802,9.40431,0.00627711,0.00160074
1.83654,1.8113,0.0251916,9.33891,0.00623345,0.00160096
1.84927,1.82402,0.0252031,9.27396,0.0061901,0.00160118
1.86209,1.83683,0.0252146,9.20948,0.00614705,0.00160139
1.87499,1.84973,0.0252261,9.14545,0.00610431,0.00160161
1.88799,1.86271,0.0252376,9.08187,0.00606186,0.00160182
1.90108,1.87579,0.0252491,9.01874,0.00601972,0.00160204
1.91426,1.88896,0.0252606,8.95605,0.00597787,0.00160225
1.92752,1.90221,0.0252721,8.8938,0.00593632,0.00160246
1.94089,1.91556,0.0252837,8.83199,0.00589506,0.00160267
1.95434,1.92901,0.0252952,8.77062,0.00585409,0.00160288
1.96789,1.94254,0.0253068,8.70967,0.0058134,0.00160309
1.98153,1.95617,0.0253184,8.64916,0.00577301,0.0016033
1.99526,1.9699,0.0253299,8.58907,0.00573289,0.0016035
2.00909,1.98372,0.0253415,8.52941,0.00569306,0.00160371
2.02302,1.99763,0.0253531,8.47016,0.00565351,0.00160392
2.03704,2.01164,0.0253647,8.41133,0.00561424,0.00160412
2.05116,2.02575,0.0253764,8.35291,0.00557525,0.00160432
2.06538,2.03996,0.025388,8.29491,0.00553652,0.00160452
2.0797,2.05426,0.0253996,8.23731,0.00549807,0.00160473
2.09411,2.06867,0.0254113,8.18011,0.00545989,0.00160493
2.10863,2.08317,0.0254229,8.12332,0.00542198,0.00160513
2.12324,2.09778,0.0254346,8.06692,0.00538433,0.00160533
2.13796,2.11248,0.0254462,8.01092,0.00534695,0.00160552
2.15278,2.12729,0.0254579,7.95531,0.00530983,0.00160572
2.1677,2.1422,0.0254696,7.9001,0.00527297,0.00160592
2.18273,2.15722,0.0254813,7.84527,0.00523637,0.00160611
2.19786,2.17234,0.025493,7.79082,0.00520003,0.0016063
2.21309,2.18756,0.0255047,7.73676,0.00516394,0.0016065
2.22844,2.20289,0.0255164,7.68308,0.0051281,0.00160669
2.24388,2.21833,0.0255281,7.62977,0.00509252,0.00160688
2.25944,2.23387,0.0255398,7.57683,0.00505718,0.00160707
2.2751,2.24952,0.0255515,7.52427,0.0050221,0.00160726
2.29087,2.26528,0.0255632,7.47207,0.00498725,0.00160745
2.30675,2.28115,0.025575,7.42025,0.00495266,0.00160764
2.32274,2.29712,0.0255867,7.36878,0.0049183,0.00160783
2.33884,2.31321,0.0255984,7.31767,0.00488419,0.00160801
2.35505,2.32941,0.0256102,7.26692,0.00485031,0.0016082
2.37137,2.34573,0.0256219,7.21653,0.00481667,0.00160838
2.38781,2.36215,0.0256337,7.16649,0.00478327,0.00160857
2.40436,2.37869,0.0256455,7.1168,0.0047501,0.00160875
2.42103,2.39535,0.0256572,7.06745,0.00471716,0.00160893
2.43781,2.41212,0.025669,7.01845,0.00468445,0.00160911
2.45471,2.429,0.0256808,6.9698,0.00465197,0.00160929
2.47172,2.44601,0.0256925,6.92148,0.00461972,0.00160947
2.48886,2.46313,0.0257043,6.8735,0.00458769,0.00160965
2.50611,2.48037,0.0257161,6.82586,0.00455589,0.00160983
2.52348,2.49773,0.0257279,6.77855,0.00452431,0.00161
2.54097,2.51521,0.0257397,6.73158,0.00449296,0.00161018
2.55859,2.53281,0.0257515,6.68492,0.00446182,0.00161035
2.57632,2.55054,0.0257633,6.6386,0.00443089,0.00161053
2.59418,2.56838,0.0257751,6.5926,0.00440019,0.0016107
2.61216,2.58635,0.0257869,6.54692,0.0043697,0.00161087
2.63027,2.60445,0.0257987,6.50156,0.00433942,0.00161105
2.6485,2.62267,0.0258105,6.45652,0.00430935,0.00161122
2.66686,2.64102,0.0258223,6.41179,0.00427949,0.00161139
2.68534,2.65949,0.0258341,6.36737,0.00424985,0.00161155
2.70396,2.67809,0.0258459,6.32326,0.0042204,0.00161172
2.7227,2.69682,0.0258578,6.27946,0.00419117,0.00161189
2.74157,2.71569,0.0258696,6.23597,0.00416213,0.00161206
2.76058,2.73468,0.0258814,6.19278,0.0041333,0.00161222
2.77971,2.7538,0.0258932,6.14989,0.00410468,0.00161239
2.79898,2.77306,0.0259051,6.1073,0.00407625,0.00161255
2.81838,2.79245,0.0259169,6.06501,0.00404802,0.00161271
2.83792,2.81197,0.0259287,6.02301,0.00401998,0.00161288
2.85759,2.83163,0.0259405,5.98131,0.00399215,0.00161304
2.8774,2.85143,0.0259524,5.93989,0.0039645,0.0016132
2.89734,2.87136,0.0259642,5.89877,0.00393705,0.00161336
2.91743,2.89143,0.025976,5.85793,0.00390979,0.00161352
2.93765,2.91164,0.0259879,5.81738,0.00388272,0.00161368
2.95801,2.932,0.0259997,5.7771,0.00385584,0.00161383
2.97852,2.95249,0.0260115,5.73711,0.00382915,0.00161399
2.99916,2.97312,0.0260234,5.6974,0.00380264,0.00161415
3.01995,2.9939,0.0260352,5.65797,0.00377632,0.0016143
3.04089,3.01482,0.0260471,5.61881,0.00375018,0.00161445
3.06196,3.03589,0.0260589,5.57992,0.00372422,0.00161461
3.08319,3.0571,0.0260707,5.5413,0.00369845,0.00161476
3.10456,3.07846,0.0260826,5.50295,0.00367285,0.00161491
3.12608,3.09997,0.0260944,5.46487,0.00364743,0.00161506
3.14775,3.12163,0.0261062,5.42706,0.00362219,0.00161521
3.16957,3.14343,0.0261181,5.3895,0.00359712,0.00161536
3.19154,3.16539,0.0261299,5.35221,0.00357223,0.00161551
3.21366,3.1875,0.0261418,5.31518,0.00354751,0.00161566
3.23594,3.20977,0.0261536,5.27841,0.00352297,0.00161581
3.25837,3.23219,0.0261654,5.24189,0.00349859,0.00161595
3.28095,3.25476,0.0261773,5.20563,0.00347439,0.0016161
3.3037,3.27749,0.0261891,5.16962,0.00345035,0.00161624
3.3266,3.30038,0.0262009,5.13385,0.00342648,0.00161639
3.34965,3.32343,0.0262128,5.09834,0.00340278,0.00161653
3.37287,3.34664,0.0262246,5.06308,0.00337924,0.00161667
3.39625,3.37,0.0262364,5.02806,0.00335586,0.00161682
3.41979,3.39353,0.0262483,4.99328,0.00333265,0.00161696
3.4435,3.41723,0.0262601,4.95875,0.0033096,0.0016171
3.46737,3.44108,0.0262719,4.92445,0.00328671,0.00161724
3.4914,3.46511,0.0262838,4.8904,0.00326398,0.00161737
3.5156,3.4893,0.0262956,4.85658,0.0032414,0.00161751
3.53997,3.51365,0.0263074,4.82299,0.00321899,0.00161765
