nstep,size,error
0,100,1.19751e-06
1,302.294,9.99958e-05
2,302.298,9.998e-05
3,302.313,9.9969e-05
4,302.336,9.9958e-05
5,302.368,9.99471e-05
6,302.408,9.99361e-05
7,302.456,9.9925e-05
8,302.513,9.9914e-05
9,302.578,9.9903e-05
10,302.652,9.98919e-05
11,302.733,9.98807e-05
12,302.824,9.98696e-05
13,302.923,9.98584e-05
14,303.03,9.98471e-05
15,303.146,9.98358e-05
16,303.27,9.98244e-05
17,303.404,9.9813e-05
18,303.546,9.98016e-05
19,303.696,9.979e-05
20,303.856,9.97784e-05
21,304.025,9.97667e-05
22,304.202,9.97549e-05
23,304.389,9.97431e-05
24,304.585,9.97312e-05
25,304.79,9.97191e-05
26,305.004,9.9707e-05
27,305.228,9.96947e-05
28,305.461,9.96824e-05
29,305.704,9.96699e-05
30,305.957,9.96574e-05
31,306.22,9.96447e-05
32,306.492,9.96318e-05
33,181.299,1.21705e-05
